,file_id,sarcasm,text,label,emotion,id,duration,mfccs,spectral_centroid,spectral_bandwidth,pitch,energy,loudness
0,12054,0, Didn't have to tell you that Somebody's a Jan Rogers,0,anger,1,5.24,"[-581.4388427734375, 103.19503021240234, -34.159175872802734, -0.6966552734375, -8.942310333251953, -9.98560905456543, -6.722594738006592, -6.08864688873291, -12.38152027130127, -7.555904865264893, -1.583094596862793, -0.9082651138305664, 0.07647448778152466]",3194.0611551900697,2498.0732577868575,1724.7588,0.00016894501218940881,0.00973745
1,108,0, already respects the bucket.,0,anger,2,1.3999773242630384,"[-519.671630859375, 99.21368408203125, -31.404705047607422, 30.882394790649414, -4.019679069519043, 1.883116364479065, -17.866737365722656, -3.9088876247406006, -3.7515182495117188, -10.702564239501953, 4.395909786224365, -10.53669548034668, -3.936948776245117]",3207.4308271531536,2460.578686695224,1596.3215,0.000481193391842591,0.01774681
2,5809,0," I accept all those flaws, why can't you accept me for this?",0,anger,3,3.32,"[-604.3026733398438, 90.88034057617188, -34.52025604248047, 32.325927734375, 5.849225044250488, -11.916833877563477, -12.0526762008667, -5.394704341888428, -2.7602670192718506, -19.729318618774414, -6.80148983001709, 1.375306248664856, -4.763419151306152]",3189.1657364823373,2348.431343255982,2021.349,0.00016486192372927615,0.009493501
3,145,0," This is my wife Nancy. Look, get out!",0,anger,4,3.86,"[-593.0642700195312, 92.73889923095703, -22.86328125, 0.763123095035553, -5.845509052276611, -2.3305399417877197, -7.0075178146362305, -4.01129150390625, -3.346780776977539, -7.034706115722656, -0.25109735131263733, 0.27919477224349976, -0.9026729464530945]",4078.4934788754044,3491.3451313282594,1616.6838,0.00018058081395815458,0.008689025
4,4227,0, Fine! Then you tell Roger because he was really looking forward to this!,0,anger,5,3.78,"[-523.6166381835938, 77.15715789794922, -10.64750862121582, 25.155960083007812, -0.1807878166437149, 5.02746057510376, -7.410805702209473, -8.471724510192871, -2.567751169204712, -6.176375865936279, -2.0006844997406006, -5.672811031341553, -10.509292602539062]",3678.133007060202,2459.1922757915145,1724.6781,0.0011072567405179389,0.02461613
5,5515,0, I don't need you guys to care about me.,0,anger,6,2.48,"[-567.1749877929688, 105.07672119140625, -40.51948547363281, 37.48192596435547, 18.05914306640625, 6.791954040527344, 5.524779319763184, -3.8128297328948975, -14.321099281311035, 3.9720265865325928, 6.640620231628418, -15.062748908996582, -4.131800651550293]",2709.7858305151267,2648.4544224571387,1870.3953,0.00028396308504927354,0.012895289
6,234,0," Okay, you don't think I thought of that?",0,anger,7,2.11,"[-530.7401123046875, 101.88276672363281, -37.854305267333984, 30.305418014526367, 2.365727424621582, -2.629784107208252, -16.68279457092285, -9.908653259277344, 1.4634701013565063, -8.671069145202637, -11.490436553955078, -4.148839473724365, -2.936992883682251]",3548.5162033946535,3020.359135486408,1704.3307,0.00039385184254111155,0.0146139115
7,10842,0, Where else would he want from me?,0,anger,8,1.69,"[-559.69189453125, 68.79371643066406, -30.107088088989258, 26.058006286621094, -25.57126808166504, -2.852717876434326, -10.65876293182373, -12.396358489990234, -4.4068756103515625, -16.884174346923828, -10.132650375366211, -3.4882538318634033, -4.976715087890625]",3324.058362149941,2568.667122999268,2270.0674,0.00019744419863153363,0.011037465
8,1171,0, You have to do that. It's Saturday!,0,anger,9,3.61,"[-616.235107421875, 68.93260192871094, -19.223512649536133, 28.420459747314453, 0.961696982383728, 0.5123928785324097, -10.55528450012207, 0.8062100410461426, -5.369518280029297, -2.0674185752868652, 2.2010953426361084, -0.7018271684646606, -2.310302257537842]",3849.8775054885127,3126.151931199343,1869.9438,0.00014492893956409786,0.007848676
9,802,0, This is so typical. I'm always the last one to know everything.,0,anger,10,3.32,"[-581.053466796875, 113.1513442993164, -24.575721740722656, 5.756829738616943, -9.58608627319336, -8.748327255249023, -14.364667892456055, -1.833725094795227, -3.109452247619629, -15.770356178283691, 0.641625165939331, 0.2761499285697937, -2.4491724967956543]",2911.68756969529,2322.779411465876,1475.9005,9.820674464464403e-05,0.007416338
10,12503,0," It's Ross, I told you I don't.",0,anger,11,2.17,"[-584.8143310546875, 78.5090103149414, -19.82782745361328, 25.862863540649414, -11.2525053024292, -17.909347534179688, -9.436285972595215, -4.063121318817139, -0.6678256392478943, -7.981872081756592, -6.807879447937012, -2.6427602767944336, -7.538344383239746]",3113.8801208371297,2551.937528889306,1852.4087,0.00021695708518967662,0.010425482
